"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"POU2F2",4.93457404232363e-09,0.259611273014097,0.512,0.478,0.000184987311698628
"APBB1IP",5.04196906450061e-09,0.29241548224955,0.258,0.212,0.000189013336289999
"SYNGR1",5.86246577677309e-09,0.272022983424683,0.122,0.085,0.00021977211703967
"HNRNPA0",6.56561848440362e-09,0.268481529849579,0.54,0.532,0.000246131905743323
"TUBA1A",6.85610673786846e-09,0.307445316517428,0.318,0.273,0.000257021729389213
"RHOH",7.45373797143322e-09,0.302175209539088,0.482,0.456,0.000279425729073088
"GPX4",1.18520747376808e-08,0.287572587562955,0.535,0.537,0.000444310577766179
"HLA-F",1.37309421083155e-08,0.282609659139243,0.41,0.381,0.00051474555775653
"ARHGAP15",2.46872797886782e-08,0.294685711185504,0.332,0.291,0.00092547674471797
"CYTIP",2.60593604211297e-08,0.321260641382331,0.474,0.464,0.000976913303467311
"FOXP1",2.84220515413989e-08,0.258135130197229,0.342,0.292,0.00106548586818396
"ABHD14B",3.89387307326388e-08,0.300710480489913,0.305,0.269,0.00145973513770516
"CDKN1A",4.51147019223236e-08,0.375402054213881,0.165,0.127,0.00169125994566407
"CERS4",6.1204731658676e-08,0.270340008582813,0.174,0.134,0.00229444298042045
"SEPT9",1.17144282469205e-07,0.264805222243001,0.455,0.433,0.00439150486120555
"SYNGR2",1.96110520293946e-07,0.257092462384227,0.553,0.553,0.00735179118477946
"IKZF3",2.31641674064107e-07,0.327003823484817,0.262,0.225,0.00868378307731525
"ATP5PD",3.06547483113566e-07,0.296242873017056,0.179,0.142,0.0114918520469614
"ATP6V0C",3.31357168126395e-07,0.292908721732505,0.109,0.078,0.0124219175187223
"TMEM109",3.58408132640829e-07,0.316821242339502,0.282,0.249,0.0134360040764394
"TMEM243",4.80311595555519e-07,0.293411962151624,0.469,0.466,0.0180059210941853
"IQGAP1",5.08432360876732e-07,0.251747718091862,0.318,0.28,0.0190601123445469
"PTP4A1",6.86655891958638e-07,0.312135046487928,0.189,0.156,0.0257413560777454
"DDX24",7.64472374313471e-07,0.264037968205636,0.383,0.364,0.0286585403682634
"FAM102A",9.4042833998759e-07,0.279029002966671,0.144,0.111,0.0352547776094548
