"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"852","PB","GO:0061900","glial cell activation","6/163","55/18614",8.35996388688852e-06,0.000362951047519991,0.00029513718661404,"7305/8530/712/3553/3458/199",6
"858","PB","GO:0002181","cytoplasmic translation","9/163","159/18614",1.12480971082342e-05,0.000447072254076574,0.000363541166730177,"10399/6171/6229/6130/6175/6132/6223/6158/6159",9
"859","PB","GO:0017014","protein nitrosylation","4/163","17/18614",1.2340749040211e-05,0.000477062928650347,0.000387928376462291,"6279/6280/7295/2597",4
"860","PB","GO:0018119","peptidyl-cysteine S-nitrosylation","4/163","17/18614",1.2340749040211e-05,0.000477062928650347,0.000387928376462291,"6279/6280/7295/2597",4
"870","PB","GO:0042119","neutrophil activation","5/163","42/18614",3.17011476597704e-05,0.00107783902043219,0.000876455318938485,"3576/7305/2207/6352/301",5
"872","PB","GO:0051767","nitric-oxide synthase biosynthetic process","4/163","22/18614",3.66556459592439e-05,0.00120281666159286,0.000978082107602837,"55829/6772/2950/3458",4
"873","PB","GO:0051769","regulation of nitric-oxide synthase biosynthetic process","4/163","22/18614",3.66556459592439e-05,0.00120281666159286,0.000978082107602837,"55829/6772/2950/3458",4
"875","PB","GO:0021762","substantia nigra development","5/163","44/18614",3.99041853768957e-05,0.00127965467197272,0.00104056368566546,"522/515/801/387/60",5
"896","PB","GO:0006979","response to oxidative stress","13/163","434/18614",0.000119555435057158,0.00309527924524127,0.00251695652751911,"10399/58515/55829/7295/6772/10549/348/2950/2353/301/4700/51142/199",13
"900","PB","GO:0035456","response to interferon-beta","4/163","32/18614",0.000168316425236106,0.00416656975452886,0.00338808686070832,"8519/6772/10581/10410",4
"901","PB","GO:0046825","regulation of protein export from nucleus","4/163","32/18614",0.000168316425236106,0.00416656975452886,0.00338808686070832,"3429/7295/3553/2010",4
"908","PB","GO:0002679","respiratory burst involved in defense response","3/163","15/18614",0.000277620782711583,0.00647475908109163,0.00526501353902785,"58515/79415/6223",3
"910","PB","GO:0002449","lymphocyte mediated immunity","10/163","300/18614",0.000320394040216383,0.00735082911781002,0.00597739843963812,"567/3002/2207/4818/3665/712/3553/713/925/5551",10
"913","PB","GO:0001819","positive regulation of cytokine production","13/163","489/18614",0.000380713273347908,0.00852676870942696,0.00693362519547569,"58515/567/9636/7305/2207/2597/6772/647087/3665/3553/3458/301/199",13
"917","PB","GO:0045454","cell redox homeostasis","4/163","40/18614",0.000405102176770736,0.00879383340651551,0.00715079146040651,"55829/51714/7295/10549",4
"919","PB","GO:0051098","regulation of binding","11/163","369/18614",0.000418439840715158,0.00894573659468315,0.00727431302040705,"10399/567/7295/3001/801/348/1026/7114/6281/3458/60",11
"926","PB","GO:0048662","negative regulation of smooth muscle cell proliferation","5/163","75/18614",0.000509893822622649,0.0103519450895044,0.00841778518225956,"348/1026/387/3458/199",5
"933","PB","GO:0051882","mitochondrial depolarization","3/163","21/18614",0.000780787977118766,0.0147295796137125,0.0119775014203787,"10399/93974/2537",3
"936","PB","GO:1900118","negative regulation of execution phase of apoptosis","3/163","21/18614",0.000780787977118766,0.0147295796137125,0.0119775014203787,"100463486/100463498/100462977",3
"937","PB","GO:0002262","myeloid cell homeostasis","7/163","171/18614",0.000782933005689892,0.0147295796137125,0.0119775014203787,"93974/567/9636/6772/6229/6223/301",7
"947","PB","GO:1903131","mononuclear cell differentiation","12/163","474/18614",0.00097709973048261,0.017233596496387,0.0140136671871848,"567/64115/2207/3956/3665/3553/2353/387/925/3458/301/60",12
"949","PB","GO:0006925","inflammatory cell apoptotic process","3/163","23/18614",0.00102641433714042,0.0178798843173474,0.0145392024364271,"55829/3665/301",3
"953","PB","GO:0006909","phagocytosis","8/163","236/18614",0.00114303333709941,0.0194315667306899,0.0158009681349189,"10399/23184/7305/2207/3553/3458/301/199",8
"963","PB","GO:1901216","positive regulation of neuron death","5/163","92/18614",0.0012897204143041,0.0206794943702623,0.0168157326745391,"7305/712/2353/387/3458",5
"976","PB","GO:0006826","iron ion transport","4/163","57/18614",0.00156028054103537,0.0232968872317557,0.0189440912250466,"2512/567/2495/3458",4
"980","PB","GO:0031334","positive regulation of protein-containing complex assembly","7/163","195/18614",0.00167548268522709,0.0244985084855484,0.0199212012751298,"10399/9636/647087/10563/387/3458/5216",7
"1004","PB","GO:0002831","regulation of response to biotic stimulus","11/163","463/18614",0.00259720326063197,0.033775611066836,0.0274649677816041,"58515/29997/9636/7353/7305/6352/6772/3665/348/6223/3553",11
