"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"P2RX5",3.23859562663311e-62,0.542819917770351,0.379,0.195,1.21408472851222e-57
"RPS18",2.12756049768956e-61,0.307579003083227,0.999,0.997,7.97579879373862e-57
"RPL32",3.84063022923178e-61,0.298445090511313,1,0.996,1.43977546033441e-56
"AHNAK",5.24390095060409e-61,0.541708348941225,0.304,0.146,1.96583358836246e-56
"UBA52",8.06801563412595e-61,0.341846856168551,0.989,0.959,3.02453770092114e-56
"RPL7A",8.3330813021372e-61,0.278394584418904,0.999,0.989,3.12390551854519e-56
"ZEB2",1.12806078413914e-60,0.585027444033746,0.254,0.111,4.22887426758081e-56
"RPS6",1.91575163154421e-60,0.324756045052832,0.998,0.988,7.18176971633295e-56
"TLE1",7.55793268091301e-60,0.395397192503564,0.217,0.086,2.83331780342067e-55
"RPL5",8.2814975283822e-60,0.305499415949097,0.996,0.981,3.10456779343992e-55
"RPL37A",3.73911809237379e-59,0.355168064602285,0.978,0.947,1.40172059046909e-54
"RPS11",8.89666920171245e-59,0.3773028159655,0.974,0.944,3.33518335033796e-54
"LINC00926",2.70038627639132e-58,0.427203501968499,0.56,0.327,1.01232080729358e-53
"UCP2",6.16117309896042e-58,0.522726677351692,0.707,0.52,2.30970057133828e-53
"RPL27A",1.98038433639116e-57,0.3621185286093,0.955,0.929,7.4240648002632e-53
"BLK",5.92425338228235e-56,0.48602223297889,0.56,0.348,2.22088410795001e-51
"ISCU",4.48128579484581e-55,0.527877729967735,0.648,0.484,1.6799444187718e-50
"RPS10",1.25866186272768e-52,0.420672987398071,0.896,0.814,4.71847159099354e-48
"RPS23",1.8100835291979e-52,0.286705761699074,0.999,0.994,6.78564113425708e-48
"ZNF90",1.14489316013083e-51,0.8291240321657,0.49,0.342,4.29197547869844e-47
"NACA",2.47684141227158e-51,0.293997459386882,0.984,0.959,9.28518308632369e-47
"B4GALT1",2.56060137368608e-50,0.51811978051726,0.262,0.124,9.59918242967438e-46
"AC004687.1",9.10883676249193e-50,0.49363567833534,0.197,0.081,3.41472072552298e-45
"TPT1",3.86409805212791e-48,0.272274663237864,0.996,0.988,1.44857307778171e-43
"RPL26",5.64045527536181e-48,0.29603944926079,0.998,0.98,2.11449387362763e-43
"RIN3",6.74198046796069e-47,0.337285219675099,0.14,0.05,2.52743363782911e-42
"NBEAL1",8.21657594484643e-47,0.688272085625148,0.697,0.585,3.08022999020403e-42
"CIB1",1.06907638711467e-46,0.696408075115551,0.623,0.477,4.00775356001546e-42
"SH3BGRL3",2.95237405619512e-46,0.387133507621258,0.891,0.814,1.10678598618643e-41
"NFKBID",5.57163892574662e-46,0.371174229395923,0.269,0.13,2.08869600048389e-41
"RP11-166O4.6",1.08028858073283e-45,0.479600026111009,0.243,0.118,4.04978583145124e-41
"EEF1G",9.3198740457945e-45,0.364962269135761,0.22,0.101,3.49383438228744e-40
"RPL35",1.70490401199186e-44,0.254358427351427,0.996,0.989,6.39134416015509e-40
"RPSA",9.16705865540616e-44,0.309197021395534,0.985,0.958,3.43654694873866e-39
"VAMP2",1.02181157263091e-42,0.422201944629813,0.645,0.477,3.83056722347876e-38
"IFT57",1.83041438437783e-42,0.448089973119501,0.384,0.23,6.8618574441556e-38
"LY6E",5.29325942080341e-42,0.453319240770623,0.614,0.457,1.98433709167078e-37
"RPS2",1.11050749846722e-40,0.295090457097865,0.975,0.94,4.16307051025393e-36
"ADD3",1.22631484931717e-40,0.336261581329181,0.295,0.156,4.59720910712021e-36
"RPL10A",3.88294712863847e-40,0.273670976131189,0.983,0.965,1.45563921958399e-35
"RASGRP2",1.78453605031176e-39,0.362976430028492,0.433,0.264,6.68986874540872e-35
"CXXC5",3.06140928980046e-39,0.485103299473349,0.423,0.275,1.14766111456039e-34
"FLNA",3.3141989298715e-39,0.345760110869991,0.26,0.134,1.24242689483023e-34
"RPL22",9.64281491448179e-39,0.252676533183357,0.997,0.965,3.61489845514093e-34
"MYLIP",1.03544424606657e-38,0.368465308544229,0.275,0.145,3.88167338965435e-34
"RPL7",2.3144567777086e-38,0.314806408972385,0.952,0.928,8.676435568274e-34
"SMAGP",2.35297462325496e-38,0.286485884746484,0.184,0.081,8.82083126765821e-34
