"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"64","GCB","GO:0043531","ADP binding","2/51","36/18369",0.00448257289352415,0.0478141108642576,0.036175149667037,"498/513",2
"65","IgM-only","GO:0046933","proton-transporting ATP synthase activity, rotational mechanism","9/21","18/18369",2.17071727745939e-23,1.64974513086914e-21,1.05108415540139e-21,"514/10632/521/513/539/498/9551/506/522",9
"68","IgM-only","GO:0016874","ligase activity","9/21","165/18369",8.18947327136454e-14,1.55599992155926e-12,9.91357290744128e-13,"514/10632/521/513/539/498/9551/506/522",9
"73","IgM-only","GO:0042288","MHC class I protein binding","2/21","19/18369",0.000210380983405603,0.0017765505265362,0.00113187429668511,"498/506",2
"74","IgM-only","GO:0043531","ADP binding","2/21","36/18369",0.000766061005175412,0.00582206363933313,0.00370934802505989,"513/498",2
"76","Memory","GO:0046933","proton-transporting ATP synthase activity, rotational mechanism","12/119","18/18369",5.55501572774176e-23,1.77205001714962e-20,1.49108316902542e-20,"10632/514/513/521/506/9551/522/539/498/515/10476/509",12
"79","Memory","GO:0016874","ligase activity","12/119","165/18369",7.63301218200531e-10,6.08732721514924e-08,5.12215291160883e-08,"10632/514/513/521/506/9551/522/539/498/515/10476/509",12
"82","Memory","GO:0030547","signaling receptor inhibitor activity","5/119","42/18369",7.36467280588289e-06,0.000335618660725235,0.00028240474669175,"100463486/100463498/100462977/4061/6352",5
"85","Memory","GO:0016209","antioxidant activity","6/119","82/18369",1.52638699714452e-05,0.000486917452089103,0.000409714404496688,"9403/51714/6415/6280/373156/7295",6
"86","Memory","GO:0023026","MHC class II protein complex binding","4/119","27/18369",2.61864711221223e-05,0.000759407662541548,0.000639000013027865,"567/972/3118/3113",4
"90","Memory","GO:0016504","peptidase activator activity","4/119","50/18369",0.000306350233649188,0.0063763979735952,0.00536539014442097,"10399/1512/5720/5721",4
"91","Memory","GO:0045296","cadherin binding","9/119","333/18369",0.000319819334098819,0.0063763979735952,0.00536539014442097,"10399/6772/8407/7534/6282/1192/1654/2060/2010",9
"92","Memory","GO:0044389","ubiquitin-like protein ligase binding","8/119","320/18369",0.0011435710564018,0.0214587745289515,0.0180563851010811,"6923/6772/7534/9802/11337/5094/9636/9246",8
"93","Memory","GO:0043531","ADP binding","3/119","36/18369",0.00161949620641771,0.0274982432239956,0.0231382676855928,"513/498/6890",3
"94","Memory","GO:0032395","MHC class II receptor activity","2/119","10/18369",0.0018102291777552,0.0274982432239956,0.0231382676855928,"3118/3113",2
"95","Memory","GO:0047134","protein-disulfide reductase (NAD(P)) activity","2/119","10/18369",0.0018102291777552,0.0274982432239956,0.0231382676855928,"51714/7295",2
"98","Memory","GO:0001222","transcription corepressor binding","3/119","45/18369",0.00308530615369615,0.038011317273504,0.0319844444967613,"6923/6921/6772",3
"103","MZB-1","GO:0046933","proton-transporting ATP synthase activity, rotational mechanism","13/96","18/18369",7.81162152040223e-27,1.71074511296809e-24,1.51298774710948e-24,"514/10632/513/506/521/515/9551/498/522/10476/509/539/527",13
"106","MZB-1","GO:0016874","ligase activity","13/96","165/18369",3.25809913351176e-12,1.78380927559769e-10,1.57760589622675e-10,"514/10632/513/506/521/515/9551/498/522/10476/509/539/527",13
"108","MZB-1","GO:0003735","structural constituent of ribosome","11/96","177/18369",2.1118011222588e-09,7.70807409624463e-08,6.8170422192214e-08,"6171/6156/2197/6175/6229/6158/6130/6132/6228/9045/6159",11
"112","MZB-1","GO:0030547","signaling receptor inhibitor activity","4/96","42/18369",6.73338479529518e-05,0.00147461127016964,0.00130415031824665,"100463486/100463498/100462977/4061",4
