"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TXNDC15",2.13120770001297e-59,0.65395348149773,0.622,0.162,7.98947142580862e-55
"IFI27L1",4.09297504146195e-59,0.433163025019516,0.357,0.063,1.53437448354325e-54
"SSR3",5.52621310699573e-59,1.08959268032996,0.827,0.293,2.07166676955056e-54
"LMAN1",6.50855595050965e-58,0.896680924028329,0.67,0.195,2.43992745472706e-53
"PYCR1",1.64589003301918e-57,0.328837711431857,0.308,0.05,6.1701125557823e-53
"HSPA5",1.30082181582765e-56,1.59366530150147,0.811,0.317,4.87652082317469e-52
"HERPUD1",4.96517054235051e-56,1.76997420642229,0.93,0.562,1.86134313291636e-51
"SEC61A1",4.75348724675573e-54,0.58418902790518,0.568,0.146,1.78198729906379e-49
"SLC38A5",2.65968015536377e-53,0.30140391304635,0.351,0.065,9.97060896642771e-49
"RRBP1",4.05881670397628e-53,0.515629679735034,0.497,0.119,1.52156920598663e-48
"SPCS3",2.52590066364117e-52,0.925942561184768,0.741,0.239,9.46909640785803e-48
"SIL1",4.51297874473403e-52,0.399576497803966,0.481,0.113,1.6918254718259e-47
"DNAJC1",1.02438773279892e-51,0.61338045609261,0.584,0.158,3.84022473271658e-47
"HIST1H1C",2.28753592615887e-51,1.17857135419431,0.605,0.172,8.57551467998435e-47
"CD38",2.33842402135037e-51,0.786013827078762,0.541,0.144,8.76628397123829e-47
"ALG5",8.89386049552843e-51,0.535187862420735,0.616,0.172,3.3341304225637e-46
"HDLBP",1.97264446489463e-50,0.494999349936488,0.546,0.141,7.39504956999699e-46
"MEI1",4.47652306736591e-50,0.489866245580601,0.524,0.135,1.67815896749413e-45
"ERLEC1",7.52671711073661e-50,0.791764721672609,0.67,0.204,2.82161571047294e-45
"CREB3L2",1.01815594430077e-49,0.341276460796423,0.405,0.086,3.81686300399471e-45
"HIST1H2BC",1.04509307849504e-49,0.529862885222813,0.276,0.045,3.91784493266219e-45
"CCPG1",1.9593879491512e-49,0.425154180770661,0.481,0.114,7.34535354377803e-45
"CKAP4",7.30263709842433e-47,0.352288402998157,0.303,0.056,2.73761259545731e-42
"CCDC88A",1.01272404832681e-46,0.480596982186512,0.384,0.083,3.79649991236753e-42
"CALU",2.13741472883078e-46,0.290182467104979,0.432,0.1,8.01274033544081e-42
"IGLV6-57",4.023769861991e-46,6.10833281260102,0.346,0.073,1.50843084586319e-41
"HYOU1",5.28781611022019e-46,0.367914414632708,0.303,0.056,1.98229650339935e-41
"KDELR2",3.6274459839165e-45,0.932102673243725,0.719,0.267,1.35985695045062e-40
"GMPPA",7.22337203319729e-45,0.300618581826877,0.362,0.077,2.707897707805e-40
"CHST2",2.64952962586933e-44,0.408720422353866,0.33,0.067,9.93255666145896e-40
"SEC61B",3.34464249897748e-43,1.09255876746864,0.903,0.493,1.25383958001668e-38
"MIR4435-2HG",5.55555108095396e-43,0.373395758022577,0.351,0.076,2.08266498922802e-38
"HSD17B8",2.40804708707147e-42,0.380005191308371,0.4,0.095,9.02728692001351e-38
"RPN1",2.39943330015259e-41,0.537658824176868,0.616,0.192,8.99499555561205e-37
