"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PKM",2.61166547891683e-20,0.280558941487588,0.637,0.479,9.7906115473634e-16
"ATP5F1E",2.82602546480144e-20,0.46064250920983,0.486,0.378,1.05942042624476e-15
"MT-ND4L",5.92642909729255e-20,0.366385406991178,0.672,0.522,2.22169973999303e-15
"NDUFA6",1.97321398185065e-19,0.285625341862993,0.375,0.263,7.3971845751617e-15
"ATP5MF",7.66670491511053e-19,0.278445153905844,0.3,0.193,2.87409433857664e-14
"PGK1",1.10552534025553e-18,0.263324368434492,0.641,0.487,4.14439339554993e-14
"ATP5F1B",4.82412653121317e-18,0.25749303040069,0.275,0.176,1.80846855402119e-13
"MTRNR2L12",1.48232492093661e-16,0.697066104665911,0.434,0.333,5.55693966360715e-12
"YWHAQ",3.01335980234675e-16,0.251194635414936,0.469,0.345,1.12964832270375e-11
"SAT1",2.01531130831859e-15,0.26598892396854,0.758,0.645,7.55499903262474e-11
"ATP5F1D",1.23169826269104e-14,0.252135247894827,0.337,0.237,4.61739044717617e-10
"ATP5PF",8.11071517144972e-14,0.251697361893932,0.283,0.194,3.04054490347307e-09
"ATP6V0C",4.02070427446637e-13,0.256554833353877,0.133,0.077,1.50728161841195e-08
"CCL3",1.75242492581929e-10,0.343751682024415,0.15,0.095,6.56949056191137e-06
